	queryItem	preferredName
493	HSPE1	HSPE1
494	IPO5	IPO5
495	MDC1	MDC1
496	CCDC59	CCDC59
497	DAP3	DAP3
498	RBM28	RBM28
499	SMARCA4	SMARCA4
500	RRM1	RRM1
501	POLE2	POLE2
502	USP1	USP1
503	HPRT1	HPRT1
504	TDG	TDG
505	PAICS	PAICS
506	ST3GAL5	ST3GAL5
507	NEK9	NEK9
508	POLE3	POLE3
509	APH1B	APH1B
510	EPRS	EPRS1
511	CALHM2	CALHM2
512	HNRNPAB	HNRNPAB
513	TPI1	TPI1
514	LDLRAP1	LDLRAP1
515	MRPS17	MRPS17
516	ZNHIT6	ZNHIT6
517	STAT5B	STAT5B
518	BCAS3	BCAS3
519	TIPARP	TIPARP
520	NOP2	NOP2
521	PRPS2	PRPS2
522	MRPL9	MRPL9
523	ANXA11	ANXA11
524	TPCN1	TPCN1
525	MTIF2	MTIF2
526	TROAP	TROAP
527	SRSF10	SRSF10
528	CREBL2	CREBL2
529	TMEM14B	TMEM14B
530	BMS1	BMS1
531	POLR3C	POLR3C
532	NAE1	NAE1
533	MCM3	MCM3
534	SHFM1	SEM1
535	ORAI3	ORAI3
536	TIMM17A	TIMM17A
537	TCEB1	ELOC
538	RERE	RERE
539	TULP3	TULP3
540	GLRX2	GLRX2
541	TRIM24	TRIM24
542	ABR	ABR
543	URI1	URI1
544	SSB	SSB
545	CLCC1	CLCC1
546	RBM5	RBM5
547	CCT5	CCT5
548	TNPO2	TNPO2
549	GALC	GALC
550	XPC	XPC
551	SRSF5	SRSF5
552	DHRS12	DHRS12
553	TOPBP1	TOPBP1
554	BRPF1	BRPF1
555	KHSRP	KHSRP
556	PTS	PTS
557	PSMD7	PSMD7
558	ZNF318	ZNF318
559	MRPL39	MRPL39
560	PSMB2	PSMB2
561	CTDSP1	CTDSP1
562	UXS1	UXS1
563	MTDH	MTDH
564	NOC3L	NOC3L
565	AKAP10	AKAP10
566	IPO9	IPO9
567	SMARCC1	SMARCC1
568	FAM111A	FAM111A
569	NUP153	NUP153
570	TMEM70	TMEM70
571	SSBP1	SSBP1
572	SNRPC	SNRPC
573	UBE3C	UBE3C
574	ENOPH1	ENOPH1
575	CECR5	HDHD5
576	H2AFZ	H2AZ1
577	C2orf47	MAIP1
578	ADD1	ADD1
579	JMJD6	JMJD6
580	YWHAZ	YWHAZ
581	SNRPB2	SNRPB2
582	TXNRD1	TXNRD1
583	LYRM9	LYRM9
584	VWA8	VWA8
585	EZH1	EZH1
586	MLF2	MLF2
587	CBX1	CBX1
588	LSM5	LSM5
589	U2SURP	U2SURP
590	RXRA	RXRA
591	TBCE	TBCE
592	PHF1	PHF1
593	CUL1	CUL1
594	LRPPRC	LRPPRC
595	SGSM2	SGSM2
596	LRP10	LRP10
597	DROSHA	DROSHA
598	MTPAP	MTPAP
599	G3BP1	G3BP1
600	TPP1	TPP1
601	PPP2R5A	PPP2R5A
602	PAIP1	PAIP1
603	MAPK1	MAPK1
604	SMPD1	SMPD1
605	EIF4E2	EIF4E2
606	CLTA	CLTA
